Colony,Time,Replicate 1,Replicate 2,Replicate 3,Replicate 4
Negative Control (Colony 1),0h,2316.5,1622.5,1708.5,2116.5
Negative Control (Colony 2),0h,1697.5,1984.5,2055.5,1364.5
Positive Control (Colony 1),0h,6145.5,7291.5,8201.5,8619.5
Positive Control (Colony 2),0h,8473.5,8698.5,8241.5,7398.5
Test Device 1: J23101.BCD2.E0040.B0015 (Colony 1),0h,859.5,1711.5,1431.5,1927.5
Test Device 1: J23101.BCD2.E0040.B0015 (Colony 2),0h,1731.5,2026.5,1671.5,1229.5
Test Device 2: J23106.BCD2.E0040.B0015 (Colony 1),0h,10222.5,9752.5,9201.5,10287.5
Test Device 2: J23106.BCD2.E0040.B0015 (Colony 2),0h,10916.5,11188.5,8141.5,5344.5
Test Device 3: J23117.BCD2.E0040.B0015 (Colony 1),0h,2323.5,2479.5,2539.5,2407.5
Test Device 3: J23117.BCD2.E0040.B0015 (Colony 2),0h,2193.5,2344.5,2214.5,1364.5
Test Device 4: J23101+I13504 (Colony 1),0h,6872.5,7722.5,7297.5,8278.5
Test Device 4: J23101+I13504 (Colony 2),0h,6468.5,11742.5,9803.5,8335.5
Test Device 5: J23106+I13504 (Colony 1),0h,1541.5,2792.5,2894.5,2951.5
Test Device 5: J23106+I13504 (Colony 2),0h,1161.5,2488.5,7487.5,2450.5
Test Device 6: J23117+I13504 (Colony 1),0h,1480.5,1477.5,1341.5,2131.5
Test Device 6: J23117+I13504 (Colony 2),0h,945.5,864.5,1464.5,456.5
Negative Control (Colony 1),2h,-389.5,2074.5,2728.5,-4798.5
Negative Control (Colony 2),2h,2831.5,2774.5,5055.5,1938.5
Positive Control (Colony 1),2h,55303.5,57256.5,59039.5,61261.5
Positive Control (Colony 2),2h,56975.5,59948.5,61788.5,62359.5
Test Device 1: J23101.BCD2.E0040.B0015 (Colony 1),2h,721.5,1960.5,2065.5,2866.5
Test Device 1: J23101.BCD2.E0040.B0015 (Colony 2),2h,3171.5,3497.5,3604.5,3217.5
Test Device 2: J23106.BCD2.E0040.B0015 (Colony 1),2h,60920.5,64701.5,65432.5,62350.5
Test Device 2: J23106.BCD2.E0040.B0015 (Colony 2),2h,69482.5,70032.5,72180.5,69738.5
